# cycle i_ni i_router o_ni o_router vnet flit
193 5 5 34 10 0 8
193 10 10 44 20 0 8
193 10 10 43 19 1 8
193 19 19 40 16 0 8
193 16 16 26 2 0 8
193 16 16 37 13 1 8
193 16 16 25 1 1 8
193 20 20 40 16 0 8
193 2 2 40 16 0 8
193 13 13 35 11 0 8
193 11 11 32 8 0 8
193 8 8 39 15 0 8
193 8 8 31 7 1 8
193 8 8 30 6 1 8
193 1 1 32 8 0 8
193 15 15 32 8 0 8
193 7 7 38 14 0 8
193 14 14 28 4 0 8
193 14 14 24 0 1 8
193 6 6 38 14 0 8
193 4 4 24 0 0 8
201 12 12 27 3 0 8
201 3 3 33 9 0 8
201 3 3 41 17 1 8
201 9 9 41 17 0 8
201 17 17 29 5 0 8
201 17 17 34 10 1 8
201 5 5 34 10 0 8
201 10 10 44 20 0 8
201 10 10 43 19 1 8
201 19 19 40 16 0 8
201 16 16 26 2 0 8
201 16 16 37 13 1 8
201 16 16 25 1 1 8
201 20 20 40 16 0 8
201 2 2 40 16 0 8
201 13 13 35 11 0 8
201 11 11 32 8 0 8
201 8 8 39 15 0 8
201 8 8 31 7 1 8
201 8 8 30 6 1 8
201 1 1 32 8 0 8
201 15 15 32 8 0 8
201 7 7 38 14 0 8
201 14 14 28 4 0 8
201 14 14 24 0 1 8
201 6 6 38 14 0 8
201 4 4 24 0 0 8
209 12 12 27 3 0 8
209 3 3 33 9 0 8
209 3 3 41 17 1 8
209 9 9 41 17 0 8
209 17 17 29 5 0 8
209 17 17 34 10 1 8
209 5 5 34 10 0 8
209 10 10 44 20 0 8
209 10 10 43 19 1 8
209 19 19 40 16 0 8
209 16 16 26 2 0 8
209 16 16 37 13 1 8
209 16 16 25 1 1 8
209 20 20 40 16 0 8
209 2 2 40 16 0 8
209 13 13 35 11 0 8
209 11 11 32 8 0 8
209 8 8 39 15 0 8
209 8 8 31 7 1 8
209 8 8 30 6 1 8
209 1 1 32 8 0 8
209 15 15 32 8 0 8
209 7 7 38 14 0 8
209 14 14 28 4 0 8
209 14 14 24 0 1 8
209 6 6 38 14 0 8
209 4 4 24 0 0 8
217 12 12 27 3 0 8
217 3 3 33 9 0 8
217 3 3 41 17 1 8
217 9 9 41 17 0 8
217 17 17 29 5 0 8
217 17 17 34 10 1 8
217 5 5 34 10 0 8
217 10 10 44 20 0 8
217 10 10 43 19 1 8
217 19 19 40 16 0 8
217 16 16 26 2 0 8
217 16 16 37 13 1 8
217 16 16 25 1 1 8
217 20 20 40 16 0 8
217 2 2 40 16 0 8
217 13 13 35 11 0 8
217 11 11 32 8 0 8
217 8 8 39 15 0 8
217 8 8 31 7 1 8
217 8 8 30 6 1 8
217 1 1 32 8 0 8
217 15 15 32 8 0 8
217 7 7 38 14 0 8
217 14 14 28 4 0 8
217 14 14 24 0 1 8
217 6 6 38 14 0 8
217 4 4 24 0 0 8
225 12 12 27 3 0 8
225 3 3 33 9 0 8
225 3 3 41 17 1 8
225 9 9 41 17 0 8
225 17 17 29 5 0 8
225 17 17 34 10 1 8
225 5 5 34 10 0 8
225 10 10 44 20 0 8
225 10 10 43 19 1 8
225 19 19 40 16 0 8
225 16 16 26 2 0 8
225 16 16 37 13 1 8
225 16 16 25 1 1 8
225 20 20 40 16 0 8
225 2 2 40 16 0 8
225 13 13 35 11 0 8
225 11 11 32 8 0 8
225 8 8 39 15 0 8
225 8 8 31 7 1 8
225 8 8 30 6 1 8
225 1 1 32 8 0 8
225 15 15 32 8 0 8
225 7 7 38 14 0 8
225 14 14 28 4 0 8
225 14 14 24 0 1 8
225 6 6 38 14 0 8
225 4 4 24 0 0 8
233 12 12 27 3 0 8
233 3 3 33 9 0 8
233 3 3 41 17 1 8
233 9 9 41 17 0 8
233 17 17 29 5 0 8
233 17 17 34 10 1 8
233 5 5 34 10 0 8
233 10 10 44 20 0 8
233 10 10 43 19 1 8
233 19 19 40 16 0 8
233 16 16 26 2 0 8
233 16 16 37 13 1 8
233 16 16 25 1 1 8
233 20 20 40 16 0 8
233 2 2 40 16 0 8
233 13 13 35 11 0 8
233 11 11 32 8 0 8
233 8 8 39 15 0 8
233 8 8 31 7 1 8
233 8 8 30 6 1 8
233 1 1 32 8 0 8
233 15 15 32 8 0 8
233 7 7 38 14 0 8
233 14 14 28 4 0 8
233 14 14 24 0 1 8
233 6 6 38 14 0 8
233 4 4 24 0 0 8
241 12 12 27 3 0 8
241 3 3 33 9 0 8
241 3 3 41 17 1 8
241 9 9 41 17 0 8
241 17 17 29 5 0 8
241 17 17 34 10 1 8
241 5 5 34 10 0 8
241 10 10 44 20 0 8
241 10 10 43 19 1 8
241 19 19 40 16 0 8
241 16 16 26 2 0 8
241 16 16 37 13 1 8
241 16 16 25 1 1 8
241 20 20 40 16 0 8
241 2 2 40 16 0 8
241 13 13 35 11 0 8
241 11 11 32 8 0 8
241 8 8 39 15 0 8
241 8 8 31 7 1 8
241 8 8 30 6 1 8
241 1 1 32 8 0 8
241 15 15 32 8 0 8
241 7 7 38 14 0 8
241 14 14 28 4 0 8
241 14 14 24 0 1 8
241 6 6 38 14 0 8
241 4 4 24 0 0 8
249 12 12 27 3 0 8
249 3 3 33 9 0 8
249 3 3 41 17 1 8
249 9 9 41 17 0 8
249 17 17 29 5 0 8
249 17 17 34 10 1 8
249 5 5 34 10 0 8
249 10 10 44 20 0 8
249 10 10 43 19 1 8
249 19 19 40 16 0 8
249 16 16 26 2 0 8
249 16 16 37 13 1 8
249 16 16 25 1 1 8
249 20 20 40 16 0 8
249 2 2 40 16 0 8
249 13 13 35 11 0 8
249 11 11 32 8 0 8
249 8 8 39 15 0 8
249 8 8 31 7 1 8
249 8 8 30 6 1 8
249 1 1 32 8 0 8
249 15 15 32 8 0 8
249 7 7 38 14 0 8
249 14 14 28 4 0 8
249 14 14 24 0 1 8
249 6 6 38 14 0 8
249 4 4 24 0 0 8
257 12 12 27 3 0 8
257 3 3 33 9 0 8
257 3 3 41 17 1 8
257 9 9 41 17 0 8
257 17 17 29 5 0 8
257 17 17 34 10 1 8
257 5 5 34 10 0 8
257 10 10 44 20 0 8
257 10 10 43 19 1 8
257 19 19 40 16 0 8
257 16 16 26 2 0 8
257 16 16 37 13 1 8
257 16 16 25 1 1 8
257 20 20 40 16 0 8
257 2 2 40 16 0 8
257 13 13 35 11 0 8
257 11 11 32 8 0 8
257 8 8 39 15 0 8
257 8 8 31 7 1 8
257 8 8 30 6 1 8
257 1 1 32 8 0 8
257 15 15 32 8 0 8
257 7 7 38 14 0 8
257 14 14 28 4 0 8
257 14 14 24 0 1 8
257 6 6 38 14 0 8
257 4 4 24 0 0 8
265 12 12 27 3 0 8
265 3 3 33 9 0 8
265 3 3 41 17 1 8
265 9 9 41 17 0 8
265 17 17 29 5 0 8
265 17 17 34 10 1 8
265 5 5 34 10 0 8
265 10 10 44 20 0 8
265 10 10 43 19 1 8
265 19 19 40 16 0 8
265 16 16 26 2 0 8
265 16 16 37 13 1 8
265 16 16 25 1 1 8
265 20 20 40 16 0 8
265 2 2 40 16 0 8
