# cycle i_ni i_router o_ni o_router vnet flit
185 17 17 20 2 0 8
185 8 8 33 15 0 8
185 8 8 30 12 1 8
185 12 12 33 15 0 8
185 15 15 19 1 0 8
185 15 15 19 1 1 8
185 1 1 25 7 0 8
185 7 7 28 10 0 8
185 7 7 28 10 1 8
185 10 10 21 3 0 8
185 10 10 29 11 1 8
185 3 3 29 11 0 8
193 13 13 18 0 0 8
193 13 13 24 6 1 8
193 0 0 24 6 0 8
193 6 6 23 5 0 8
193 6 6 34 16 1 8
193 16 16 23 5 0 8
193 5 5 27 9 0 8
193 9 9 20 2 0 8
193 9 9 32 14 1 8
193 14 14 20 2 0 8
193 2 2 35 17 0 8
193 2 2 26 8 1 8
193 17 17 20 2 0 8
193 8 8 33 15 0 8
193 8 8 30 12 1 8
193 12 12 33 15 0 8
193 15 15 19 1 0 8
193 15 15 19 1 1 8
193 1 1 25 7 0 8
193 7 7 28 10 0 8
193 7 7 28 10 1 8
193 10 10 21 3 0 8
193 10 10 29 11 1 8
193 3 3 29 11 0 8
201 13 13 18 0 0 8
201 13 13 24 6 1 8
201 0 0 24 6 0 8
201 6 6 23 5 0 8
201 6 6 34 16 1 8
201 16 16 23 5 0 8
201 5 5 27 9 0 8
201 9 9 20 2 0 8
201 9 9 32 14 1 8
201 14 14 20 2 0 8
201 2 2 35 17 0 8
201 2 2 26 8 1 8
201 17 17 20 2 0 8
201 8 8 33 15 0 8
201 8 8 30 12 1 8
201 12 12 33 15 0 8
201 15 15 19 1 0 8
201 15 15 19 1 1 8
201 1 1 25 7 0 8
201 7 7 28 10 0 8
201 7 7 28 10 1 8
201 10 10 21 3 0 8
201 10 10 29 11 1 8
201 3 3 29 11 0 8
209 13 13 18 0 0 8
209 13 13 24 6 1 8
209 0 0 24 6 0 8
209 6 6 23 5 0 8
209 6 6 34 16 1 8
209 16 16 23 5 0 8
209 5 5 27 9 0 8
209 9 9 20 2 0 8
209 9 9 32 14 1 8
209 14 14 20 2 0 8
209 2 2 35 17 0 8
209 2 2 26 8 1 8
209 17 17 20 2 0 8
209 8 8 33 15 0 8
